"GeneID","RP.value","Mean.Expression","std_dev","P.value"
"ENSG00000206172",33673221512,8.08718919496346,0.89897044176654,0
"ENSG00000198898",36735035904,8.40623571554655,1.48430556298636,0
"ENSG00000184640",62877802284,7.94671423787206,0.571556668618499,0
"ENSG00000100243",123291352800,7.99371415035499,1.44765711518474,0
"ENSG00000197102",149766869385,7.68256896881999,0.351637084038255,0
"ENSG00000229807",322061535678,6.84637047952406,2.49407845997963,0.0009990009990009
"ENSG00000157540",594606012000,7.41549058340362,0.560082340124029,0
"ENSG00000163349",619121919072,7.33088093844238,0.909944469827508,0
"ENSG00000163320",1245070997280,7.22963790383591,1.20396313563607,0.002997002997003
"ENSG00000115419",1292624179704,7.18872775726205,0.895385021529434,0
"ENSG00000170873",3910151247996,6.77517922122512,0.489987112062819,0.0079920079920079
"ENSG00000011275",4132896768000,6.72899569980923,0.23997821078868,0.002997002997003
"ENSG00000105220",4812104840256,6.73293629094527,0.761977990207636,0.002997002997003
"ENSG00000121741",5291114151648,6.68708872003986,0.784721141768664,0.0129870129870129
"ENSG00000102531",11371694644800,6.39558264391508,0.913007393699601,0.011988011988012
"ENSG00000135365",13753927518760,6.28831230169519,0.425063956781736,0.011988011988012
"ENSG00000141002",20027746185500,6.01464340382116,0.535039268464158,0.0259740259740259
"ENSG00000275066",25470477769674,5.87207154221402,0.617829085146647,0.0209790209790209
"ENSG00000134548",32610456483904,6.01728026366366,1.68671728393473,0.0299700299700299
"ENSG00000113580",37549320967680,5.71395477624425,0.794229902245754,0.0299700299700299
"ENSG00000138777",41859598766040,5.86379079662002,1.20857017674856,0.0359640359640359
"ENSG00000070540",42244772132880,5.881686117557,1.2370975605485,0.0269730269730269
"ENSG00000166377",45562660311480,5.84111371977534,0.648304588077604,0.0419580419580419
"ENSG00000011405",53957343026160,5.71334213802832,0.428699323490504,0.0419580419580419
"ENSG00000100243",1.60947778881485e+35,8.10343844304686,1.4048047826308,0
"ENSG00000206172",2.68180270438109e+35,7.74530507293195,2.32474596956351,0
"ENSG00000198898",8.00269216439494e+35,7.75852335581964,2.05379921202231,0
"ENSG00000184640",5.41571459392857e+36,7.56803990294328,1.93467179056596,0
"ENSG00000157540",9.87223519578884e+38,7.17573851703247,0.449677566829469,0
"ENSG00000197102",1.10313246750935e+39,7.04891773925649,1.16017676407987,0
"ENSG00000163349",2.04699638545599e+39,6.90366564281455,1.58894553316264,0
"ENSG00000163320",2.87685989052599e+40,6.83867068535238,1.02648000168913,0
"ENSG00000115419",4.79296040260309e+40,6.68874557217202,1.26904059262751,0
"ENSG00000170873",1.71275046626395e+41,6.64745001189987,0.62044743782008,0
"ENSG00000105220",4.04913810279918e+41,6.55559162101478,0.742702299735279,0
"ENSG00000135365",5.09408277944203e+42,6.18669393463802,0.71784082047572,0.0009990009990009
"ENSG00000011275",3.00851551645559e+43,5.94017546816416,1.09624959666471,0
"ENSG00000134548",3.26920367407737e+43,5.90884994715821,1.44041945424664,0
"ENSG00000070540",6.54976953553273e+43,5.90203239483647,0.994976210978069,0
"ENSG00000121741",8.92500094145642e+43,5.81160892001992,1.39249264818383,0
"ENSG00000102531",9.96160230346963e+43,5.79686867080987,1.18470950782855,0
"ENSG00000141002",3.8980188812795e+44,5.40827252865161,1.65051584497324,0
"ENSG00000275066",8.14310242669699e+44,5.328441910688,1.49014608861904,0
"ENSG00000229807",8.73515331833997e+44,4.88698279415319,2.41289048721648,0.0009990009990009
"ENSG00000144283",1.26112208042224e+45,5.38736983020007,1.19327741303649,0
"ENSG00000065883",1.31653897996453e+45,5.39026198109053,1.42536869913929,0.0009990009990009
"ENSG00000009335",2.08145943813129e+45,5.39937994469128,0.70235205455014,0.001998001998002
"ENSG00000115461",2.30132752521175e+45,5.16470512416693,1.44739565302352,0
"ENSG00000138777",2.85129909206657e+45,5.3245040171061,1.34966307058524,0.0009990009990009
"ENSG00000111424",4.71472536702267e+45,5.32540558034736,0.694820074294216,0.0009990009990009
"ENSG00000101193",5.22522009143777e+45,5.21974136223047,1.16920127720356,0.001998001998002
"ENSG00000118263",6.26652249095921e+45,5.26577255804387,0.848062735958786,0
"ENSG00000075856",8.46297105853841e+45,5.15982346286121,0.851138117812138,0
"ENSG00000008517",1.38298967099202e+46,5.03428529280467,1.16009524034843,0
"ENSG00000113580",2.15653099310487e+46,5.0048899456673,1.77815778843606,0.004995004995005
"ENSG00000011405",2.80581759402858e+46,4.92375936680244,1.48350440760788,0.001998001998002
"ENSG00000143322",3.31204076236046e+46,4.76176674700428,1.60017062486878,0.0009990009990009
"ENSG00000122390",4.44777271869985e+46,4.92599677588707,0.837681741505885,0.004995004995005
"ENSG00000135074",5.64971422811359e+46,4.77991254537964,1.02143869675912,0.001998001998002
"ENSG00000133835",6.12655816722253e+46,4.88651555291758,1.5295171471115,0.001998001998002
"ENSG00000181789",9.93534028039669e+46,4.79266321429439,1.24968672073034,0.002997002997003
"ENSG00000023191",1.06899604108254e+47,4.72603234327444,1.44682537975096,0.0079920079920079
"ENSG00000166377",1.2205084136996e+47,4.65739310494136,1.75283936855246,0.004995004995005
"ENSG00000148358",3.22478941074345e+47,4.65578666142018,0.580800667789114,0.0069930069930069
"ENSG00000160305",7.84615191563787e+47,4.22741581844845,1.50143729435883,0.0159840159840159
"ENSG00000100296",9.85081827991695e+47,4.43528962730435,1.02428472315337,0.011988011988012
"ENSG00000131653",1.16742061200553e+48,4.37811535795354,1.14994818179916,0.0159840159840159
"ENSG00000112983",1.34530905602256e+48,4.41568952621391,0.96757139468921,0.0209790209790209
